client_id,district_id,gender,age,age_group,birth date,disp_id,account_id,district name,region,inhabitants,municipalities with inhabitants < 499,municipalities with inhabitants 500-1999,municipalities with inhabitants 2000-9999,municipalities with inhabitants >10000,cities,ratio of urban inhabitants,average salary,unemployment rate 1996,enterpreneurs per 1000 inhabitants,commited crimes 1996,frequency,LOR,Average Collection from another bank,Average Credit in Cash,Average Interest Credited,Average remittance to another bank,Average withdrawal in cash,Average Total Credit,Average Total Debit,Average Monthly Savings,Average Monthly Balance,Median Monthly Balance,total_credit,total_withdrawal,household payment,insurance payment,lease,loan payment,other,total order payment,Card Type,Card Issued before 1997,Loan Amount,Loan Duration,Loan Payments,status,Loan granted before 1997,Card Issued,loan granted
1,18,F,26,20,1970-12-13,1,1,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,3.35,131,1910,Monthly Issuance,1,3679.0,425.0,68.16666666666667,2452.0,2179.6,4172.166666666667,4631.599999999999,-459.43333333333356,14348.099999999997,14134.599999999999,50065.99999999999,55579.19999999999,2452.0,0.0,0.0,0.0,0.0,2452.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
2,1,M,51,50,1945-02-04,2,2,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.43,167,99107,Monthly Issuance,3,21922.333333333332,1958.3333333333333,164.57500000000002,7266.0,15615.183333333336,24045.24166666667,22881.183333333334,1164.0583333333343,30335.08333333334,30212.25,288542.9,274574.2,7266.0,0.0,0.0,3372.7,0.0,10638.7,Not Applicable,Not Applicable,80952.0,24.0,3373.0,No Problems,Yes,0,0
8,51,F,58,50,1938-02-21,8,6,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.97,131,3839,Monthly Issuance,2,6669.0,0.0,123.30833333333335,3954.0,2862.933333333333,6792.308333333333,6816.933333333334,-24.625000000000153,31743.675,32696.55,81507.7,81803.20000000001,3954.0,0.0,0.0,0.0,0.0,3954.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
10,57,M,53,50,1943-05-01,10,8,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,4.5,116,3651,Monthly Issuance,1,0.0,22181.166666666668,216.6,7987.666666666667,14881.716666666669,22397.766666666666,22869.383333333335,-471.6166666666656,45599.89166666666,42386.45,268773.20000000007,274432.60000000003,2612.0,0.0,0.0,0.0,6712.0,9324.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
12,40,M,15,10,1981-02-20,12,9,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,7.07,97,6872,Monthly Issuance,3,0.0,2265.3333333333335,128.1833333333333,0.0,6218.766666666666,2393.5166666666664,6218.766666666666,-3825.25,31965.225000000002,29155.050000000003,28722.199999999997,74625.20000000001,0.0,0.0,0.0,0.0,0.0,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
14,76,F,54,50,1942-06-22,14,11,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,5.88,107,2807,Monthly Issuance,1,3494.0,0.0,83.99166666666667,1954.3333333333333,118.38333333333334,3577.9916666666663,2072.7166666666662,1505.2750000000003,23224.7,23354.55,42935.89999999999,24872.6,2132.0,0.0,0.0,0.0,0.0,2132.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
20,46,M,17,10,1979-01-04,20,15,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,2.31,117,2618,Monthly Issuance,3,0.0,18487.166666666668,162.14166666666665,3072.0,16376.26666666667,18649.30833333333,19448.26666666667,-798.9583333333326,47145.041666666664,49153.45,223791.69999999998,233379.20000000004,3072.0,0.0,0.0,0.0,0.0,3072.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
24,43,F,57,50,1939-07-29,24,18,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,2.5,125,3891,Weekly Issuance,3,0.0,19795.333333333332,111.18333333333334,0.0,20476.333333333332,19906.516666666666,20476.333333333332,-569.8166666666665,35523.24166666667,33718.75,238878.2,245716.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
25,21,F,57,50,1939-04-23,25,19,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,2.07,123,2354,Monthly Issuance,1,16400.5,1833.3333333333333,150.65833333333336,1051.3333333333333,17905.258333333335,18384.491666666665,18956.591666666664,-572.0999999999991,20982.883333333335,20454.8,220613.9,227479.1000000001,0.0,0.0,0.0,2523.2,0.0,2523.2,Not Applicable,Not Applicable,30276.0,12.0,2523.0,Loan Not Payed,Yes,0,0
28,1,M,51,50,1945-09-29,28,22,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.43,167,99107,Monthly Issuance,2,0.0,18854.166666666668,193.16666666666666,6352.0,10447.933333333336,19047.333333333332,16799.933333333338,2247.4,38473.98333333333,39437.45,228567.99999999997,201599.20000000004,6352.0,0.0,0.0,0.0,0.0,6352.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0
